Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Order Year,Order Month
1,CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.00,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.00,0.00%,41.91,16%,2016,8
2,CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.00,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.00,0.00%,219.58,30%,2016,8
3,CA-2016-138688,06-12-2016,,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.00,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.00,0.00%,6.87,47%,2016,12
4,US-2015-108966,10-11-2015,,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.00,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5.00,45.00%,-383.03,-40%,2015,11
5,US-2015-108966,10-11-2015,,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.00,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2.00,20.00%,2.52,11%,2015,11
6,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.00,0.00%,14.17,29%,2014,9
7,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.00,0.00%,1.97,27%,2014,9
8,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6.00,20.00%,90.72,10%,2014,9
9,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3.00,20.00%,5.78,31%,2014,9
10,CA-2014-115812,06-09-2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.00,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5.00,0.00%,34.47,30%,2014,9
